County,Turnout,State,Precincts,Votes,Republican,Democrat,Green,Libertarian,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino),African American,Native American,Asian American,Other Race,Latino,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Sire Homogeneity,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Chattahoochee,16.6,Georgia,1,1384,53.9,42.85,0,3.25,6.8,93.2,31.5,7.5,58.05,32176.41,59.95,21.85,0.85,2,3.4,12,17.7,25.15,12815,47.6,16.25,0.37,19.1,28.35,17.3,31.5,0,10.4,12.45,0.42317075,25.4,,,0.08,38.1,0.196,,0.305,0.073,502.2,137.2,0.155,0.183,157.69,,46,
Mendocino,18.6,California,250,11435,31.23,60.38,4.59,3.5,16.8,83.2,22.7,8.7,71.9,25691.28,69.8,0.6,4.25,1.55,2.65,21.15,26.25,9.85,86935,50.5,16.7,0.444,23.35,28.7,20.45,24.25,4.05,11.9,10.65,0.534721,41.2,4.2,4,0.06,38.3,0.394,0.182,0.248,0.077,300.4,140.3,0.233,0.097,567.74,6.03,92.4,7.4
Iron,19.4,Utah,40,15354,65.29,13.7,0.58,3.01,9,91,28.2,7.5,73.4,17726.49,87.7,0.3,2.3,0.85,1.9,6.9,26.6,6.05,44457,43.7,20.3,0.391,23.25,30.05,19.4,26.9,1.25,10.1,12.3,0.77486125,26.1,3.4,3.4,0.07,26.2,0.176,0.126,0.256,0.068,160.5,35.7,0.223,0.074,178.62,,73.9,7.1
Terry,20.6,Texas,8,1763,73.45,24.05,0.79,1.7,31.9,68.1,14.3,3.7,69.55,22093.27,45.7,5,0.15,0.15,0.8,48.25,42.6,18.65,12402,31.7,19.25,0.547,26.6,29.65,17.8,22.8,4.4,11.7,13.65,0.44422375,35.5,6.4,6.9,0.11,99.5,0.28,,0.319,0.112,433.9,48.5,0.28,0.066,193.87,,84.8,
Imperial,21.8,California,189,41751,27.05,68.18,1.52,2.55,37.7,62.3,12.2,4,77.95,22388.49,15.2,3.1,1,1.6,0.85,78.25,29.1,14.05,167281,49.7,21.3,0.469,27.75,24.75,21.95,26.9,5.65,8.9,11.8,0.6367995,31.6,4.6,3.8,0.06,62.2,0.36,0.124,0.235,0.074,429.2,146.1,0.228,0.283,326.13,3.22,46.1,4.3
Frio,22.8,Texas,10,2683,45.92,52.22,0.48,1.38,35.7,64.3,8.1,3.2,73.25,21374.34,19.35,3,0.1,1.2,0.35,76,22.5,22.1,16676,43,21.45,0.436,26.8,21.5,23.85,24.3,4.8,13.35,12.15,0.6160995,31.7,,,0.09,95.8,0.343,,0.297,0.088,448.3,195,0.239,0.056,213.84,9.33,51.9,
Whitman,23,Washington,11,12128,45.04,45.52,1.53,6.65,4.3,95.7,47.4,21.6,90.7,11947.7,82.7,1.85,0.6,7.35,3.15,4.35,15.65,6.3,43284,47.9,28.35,0.498,13.95,45.15,20.6,21.6,1.4,4.45,6.75,0.692594,24.3,2.9,3,0.06,4.6,0.194,0.112,0.278,0.071,348.3,52.7,0.159,0.063,126.55,,43,
Okanogan,24.6,Washington,11,10893,57.88,36.54,1.23,3.39,16.2,83.8,17.7,7,70.75,22175.93,69.25,0.35,10.4,0.65,2.3,17,25.95,9.6,40413,32.2,19.55,0.452,27.1,31.6,18,23.45,7.15,8.95,10.8,0.51985575,42.2,4.3,3.9,0.08,57.6,0.345,0.235,0.294,0.097,275.3,74.7,0.24,0.092,175.54,6.09,98.5,6.2
Tulare,25,California,252,94571,53.39,41.34,1.39,3.33,32.7,67.3,13,4.2,73.95,22364.38,34.45,1.25,0.75,3.25,1.65,58.65,34.75,12.3,429239,37.3,22.75,0.445,31.8,24.1,17.95,20.85,13.95,8.8,14.35,0.4642035,29.4,4.9,4.5,0.06,63.6,0.351,0.145,0.295,0.074,392,67.4,0.242,0.158,470,9.22,57.9,5.5
Kings,25.8,California,182,32250,54.1,40.01,1.21,3.98,30.1,69.9,11.8,3.3,67.3,23075.13,36.6,7.1,0.95,3.35,2.3,49.65,31.15,9.3,149839,35.5,19.2,0.413,27.75,23.4,20.25,20.1,12.65,8.8,14.8,0.38725075,30.8,5.4,4.3,0.07,65,0.33,0.125,0.242,0.075,437,176.7,0.212,0.153,385.73,4.31,48.8,6.4
